id,title,owner,emp,description,open,inputer,status
1,Staffing Problems,1,Tina Maggino,3 full-time critical shifts are open and must be filled fast.  Use temp service?,true,Stacy Bartman (Vice President),Waiting for Response
2,Harrasment Issue,2,Millie Van Houten,,false,,,
3,Employee Late,6,Kayla Krabappel,,false,,,
4,Wrong Patient Imaged,6,Jim Wiggum,Wrong patient was taken for abdomen/pelvis with contrast CT during night shift,true,Mandy Hibert (ER Nurse),Waiting for Resolution
5,Patient Complaint,3,Dan Skinner,,false,,
6,Patient Fall,7,Beth Lisaton,Patient fall from gurney to ct table,true,Shannon Sizlack,In-Progress
6,Incorrect Charges,5,Jenny Moleman,,false,,
7,Employee No Show,4,Lexi Brockman,,false,,
8,Employee Late,6,Rory Lovejoy,11 minutes late. Shift to begin at 15:00. Clocked in at 15:11.,true,Automated,Waiting for Response
9,Employee Late,6,Jim Wiggum,6 minutes late. Shift to begin at 7:00. Clocked in at 7:06.,true,Automated,Waiting for Response
10,Employee Late,6,Jim Wiggum,8 minutes late. Shift to begin at 7:00. Clocked in at 7:08.,true,Automated,Resolved
11,Employee Late,6,Audrey Skinner,5 minutes late. Shift to begin at 19:00. Clocked in at 19:05.,true,Automated,Resolved
12,Unreadable Images,6,Jessica Hibbert,Lateral and oblique eblow images blurry and no notes listed with history.,true,Gena Quimby (Radiology Coordinator),In-Progress
13,Praise from ER patient,6,Jim Wiggum,Patient said Jim gave fantastic service while she was being imaged for dislocated shoulder.,true,Dan Bouvier (ER Nurse),Resolved
14,Paitent Complaint,6,Kayla Krabappel,Patient had to wait a long time for Rad during upper GI procedure,true,Kevin Smithers (Hospital Reception),New
