itemId,order,person,text,status
1,1,Stacy Bartman,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
1,2,Stacy Bartman,Breifly discussed staffing with <strong>Tina Maggino</strong>.  To outline plan to fix this.
1,3,Stacy Bartman, Met with <strong>Tina Maggino</strong> disscssed options for staffing including staffing agency. <strong>Tina Maggino</strong> will contact agency.
1,4,Stacy Bartman, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Response</strong> 
1,4,Tina Maggino, Status changed from <strong>Waiting for Response</strong> to <strong>In-Progress</strong> 
1,5,Tina Maggino, Have a list of costs for filling staff positions from agency.  Need to your approval <strong>Stacy Bartman</strong>
1,4,Tina Maggino, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Response</strong>,Waiting for Response
4,1,Laurie Gumble,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
4,2,Laurie Gumble,Double checked and wrong patient was imaged. Setup meeting to discuss issue with <strong>Jim Wiggim</strong>
4,3,Laurie Gumble, Met with <strong>Jim Wiggim</strong>  and outlined the rules and protocol for imaging wrong patient.
4,4,Laurie Gumble, Email sent to <strong>Jim Wiggim</strong> for resolution confirmation
4,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Resolution</strong>,Waiting for Resolution
6,1,Shannon Sizlack,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
6,2,Shannon Sizlack,Met with <strong>Mark Flanders</strong> and <strong>Beth Lisaton</strong> to discuss incident.  
6,3,Shannon Sizlack,Setting up meeting to talk with the director of patient saftey.,In-Progress
8,1,Laurie Gumble,Item created by system. Employee was 11 minutes late for start of shift.
8,2,Laurie Gumble,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
8,3,Laurie Gumble,Employee <strong>Rory Lovejoy</strong> had car trouble and called to alert me he would be late. First time being late., 
8,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Resolution</strong>,Waiting for Resolution
10,1,Laurie Gumble,Item created by system. Employee was 8 minutes late for start of shift.
10,2,Laurie Gumble,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
10,3,Laurie Gumble,Employee <strong>Jim Wiggum</strong> said his alarm didn't go off.  First time late.
10,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Resolution</strong>,
10,5,Laurie Gumble, <strong>Jim Wiggum</strong> changed status to <strong>Resolved</strong>,Resolved
9,1,Laurie Gumble,Item created by system. Employee was 6 minutes late for start of shift.
9,2,Laurie Gumble,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
9,3,Laurie Gumble,Employee <strong>Jim Wiggum</strong> was late a second time in a week.  Employee said traffic was bad.  Talked to him about the new policy and let him know what will happen if he continues to show up late.
9,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Resolution</strong>,Waiting for Resolution
11,1,Laurie Gumble,Item created by system. Employee was 6 minutes late for start of shift.
11,2,Laurie Gumble,Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
11,3,Laurie Gumble,Employee <strong>Audrey Skinner</strong> was late to start of night shift. Had issue with child care.  Called ahead letting evening tech know she would be late. First time being late.
11,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Waiting for Resolution</strong>,
11,5,Laurie Gumble, <strong>Audrey Skinner</strong> changed status to <strong>Resolved</strong>,Resolved
12,1,Laurie Gumble, Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
12,2,Laurie Gumble, Review the rt elbow images completed by <strong>Jessica Hibbert</strong> and two of the three were unreabable.  No notes or reason for poor images.
12,3,Laurie Gumble, Talked to <strong>Jessica Hibbert</strong> about the pool quality images.  She is calling the patient and scheduling a time to redo the images today.,In-Progress
13,1,Laurie Gumble, Status changed from <strong>New</strong> to <strong>In-Progress</strong> 
13,2,Laurie Gumble, ER patient called department and praised <strong>Jim Wiggim</strong> for how amazing he was during here shoulder imaging.  She had a dislocated shoulder and <strong>Jim Wiggim</strong> did a great job during the procedure.
13,3,Laurie Gumble, During the staff meeting I called out <strong>Jim Wiggim</strong> for his great patient care.
13,4,Laurie Gumble, Status changed from <strong>In-Progress</strong> to <strong>Resolved</strong>,Resolved
14,4,Laurie Gumble, Item Created,New
